query_id,question,method,MRR_component,Precision@1,Recall@1,nDCG@1,Precision@3,Recall@3,nDCG@3,Precision@5,Recall@5,nDCG@5,Precision@10,Recall@10,nDCG@10
Q04,What is Harlequin Ichthyosis?,hybrid_rrf,1.0,1.0,0.14285714285714285,1.0,1.0,0.42857142857142855,0.6296908825811814,1.0,0.7142857142857143,0.7709597298566879,0.7,1.0,0.8958044580484065
Q04,What is Harlequin Ichthyosis?,hybrid_reranked,1.0,1.0,0.14285714285714285,1.0,1.0,0.42857142857142855,1.0,1.0,0.7142857142857143,1.0,0.7,1.0,1.0
Q05,Name at least 3 very rare and severe congenital diseases.,semantic,1.0,1.0,0.1111111111111111,0.14285714285714285,1.0,0.3333333333333333,0.5462626288265326,1.0,0.5555555555555556,0.6583697315984024,0.9,1.0,0.6960740303509546
Q05,Name at least 3 very rare and severe congenital diseases.,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q05,Name at least 3 very rare and severe congenital diseases.,hybrid_rrf,1.0,1.0,0.1111111111111111,0.14285714285714285,1.0,0.3333333333333333,0.5462626288265326,1.0,0.5555555555555556,0.6583697315984024,0.9,1.0,0.6960740303509546
Q05,Name at least 3 very rare and severe congenital diseases.,hybrid_reranked,1.0,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,0.9721212198129313,1.0,0.5555555555555556,0.97435344412509,0.9,1.0,0.9749695470339531
Q06,How is APDS diagnosed?,semantic,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,0.6296908825811814,1.0,0.4166666666666667,0.6204431086377277,1.0,0.8333333333333334,0.7948080019721405
Q06,How is APDS diagnosed?,lexical,1.0,1.0,0.08333333333333333,0.14285714285714285,1.0,0.25,0.34397659686689563,1.0,0.4166666666666667,0.4874460665238827,0.5,0.4166666666666667,0.39942635406523136
Q06,How is APDS diagnosed?,hybrid_rrf,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,0.6121358688798993,1.0,0.4166666666666667,0.5616109152281644,1.0,0.8333333333333334,0.7724399508843396
Q06,How is APDS diagnosed?,hybrid_reranked,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,0.8659203639934981,1.0,0.4166666666666667,0.8860613086902124,1.0,0.8333333333333334,0.8737923168653603
Q07,What treatments are available for Duchenne Muscular Dystrophy?,semantic,1.0,1.0,0.06666666666666667,0.42857142857142855,1.0,0.2,0.7318407279869963,1.0,0.3333333333333333,0.8061941684150765,1.0,0.6666666666666666,0.8323110352014628
Q07,What treatments are available for Duchenne Muscular Dystrophy?,lexical,1.0,1.0,0.06666666666666667,1.0,1.0,0.2,1.0,1.0,0.3333333333333333,0.9250256699929476,0.5,0.3333333333333333,0.6002783652509203
Q07,What treatments are available for Duchenne Muscular Dystrophy?,hybrid_rrf,1.0,1.0,0.06666666666666667,1.0,1.0,0.2,0.6967307005844323,1.0,0.3333333333333333,0.7808192186449511,1.0,0.6666666666666666,0.8577666702728031
Q07,What treatments are available for Duchenne Muscular Dystrophy?,hybrid_reranked,1.0,1.0,0.06666666666666667,1.0,1.0,0.2,1.0,1.0,0.3333333333333333,0.9250256699929476,1.0,0.6666666666666666,0.9094245487194395
Q08,What is considered a rare genetic disease?,semantic,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,1.0,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,0.9956116357095224
Q08,What is considered a rare genetic disease?,lexical,1.0,1.0,0.08333333333333333,1.0,0.3333333333333333,0.08333333333333333,0.4692787260227565,0.4,0.16666666666666666,0.36002711239400276,0.5,0.4166666666666667,0.3693504963649022
Q08,What is considered a rare genetic disease?,hybrid_rrf,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,0.8308103365909342,1.0,0.4166666666666667,0.8777221344374128,0.8,0.6666666666666666,0.7734308283964958
Q08,What is considered a rare genetic disease?,hybrid_reranked,1.0,1.0,0.08333333333333333,1.0,1.0,0.25,0.8659203639934981,1.0,0.4166666666666667,0.7906355891969594,0.8,0.6666666666666666,0.7931228635060338
Q09,What is personalized RNA medicine and what is it used for?,semantic,1.0,1.0,0.1111111111111111,0.42857142857142855,1.0,0.3333333333333333,0.42857142857142855,1.0,0.5555555555555556,0.6345914563262909,0.9,1.0,0.811221911015846
Q09,What is personalized RNA medicine and what is it used for?,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q09,What is personalized RNA medicine and what is it used for?,hybrid_rrf,1.0,1.0,0.1111111111111111,0.42857142857142855,1.0,0.3333333333333333,0.42857142857142855,1.0,0.5555555555555556,0.6345914563262909,0.9,1.0,0.811221911015846
Q09,What is personalized RNA medicine and what is it used for?,hybrid_reranked,1.0,1.0,0.1111111111111111,0.42857142857142855,1.0,0.3333333333333333,0.5626510645779305,1.0,0.5555555555555556,0.5680646077290986,0.9,1.0,0.8113873537270996
Q10,What percentage of rare diseases are usually caused by genetic factors?,semantic,1.0,1.0,0.125,1.0,1.0,0.375,0.6121358688798993,1.0,0.625,0.6564345299279188,0.8,1.0,0.8448429769345904
Q10,What percentage of rare diseases are usually caused by genetic factors?,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q10,What percentage of rare diseases are usually caused by genetic factors?,hybrid_rrf,1.0,1.0,0.125,1.0,1.0,0.375,0.6121358688798993,1.0,0.625,0.6564345299279188,0.8,1.0,0.8448429769345904
Q10,What percentage of rare diseases are usually caused by genetic factors?,hybrid_reranked,1.0,1.0,0.125,1.0,1.0,0.375,0.8308103365909342,1.0,0.625,0.8272858410866246,0.8,1.0,0.940956715287902
Q11,How accurate are LLMs in diagnosing rare diseases?,semantic,1.0,1.0,0.1,0.42857142857142855,1.0,0.3,0.5307212739772436,1.0,0.5,0.6961676269733493,0.9,0.9,0.8234013374954927
Q11,How accurate are LLMs in diagnosing rare diseases?,lexical,1.0,1.0,0.1,0.14285714285714285,0.3333333333333333,0.1,0.06703981800325093,0.2,0.1,0.057573519004362674,0.1,0.1,0.050821759997788575
Q11,How accurate are LLMs in diagnosing rare diseases?,hybrid_rrf,1.0,1.0,0.1,0.42857142857142855,1.0,0.3,0.4780562328733975,1.0,0.5,0.591255626831456,1.0,1.0,0.77289835819988
Q11,How accurate are LLMs in diagnosing rare diseases?,hybrid_reranked,1.0,1.0,0.1,1.0,1.0,0.3,0.7988805459902473,1.0,0.5,0.9264617029908001,1.0,1.0,0.9648256641889021
Q12,What is Risdiplam used for and how effective is it?,semantic,1.0,1.0,0.09090909090909091,0.42857142857142855,1.0,0.2727272727272727,0.4175113851126525,1.0,0.45454545454545453,0.5104644519947469,1.0,0.9090909090909091,0.6739032543245671
Q12,What is Risdiplam used for and how effective is it?,lexical,1.0,1.0,0.09090909090909091,1.0,0.3333333333333333,0.09090909090909091,0.541942129480027,0.2,0.09090909090909091,0.4554594382818066,0.1,0.09090909090909091,0.3689218663060543
Q12,What is Risdiplam used for and how effective is it?,hybrid_rrf,1.0,1.0,0.09090909090909091,0.42857142857142855,1.0,0.2727272727272727,0.6903187831542703,1.0,0.45454545454545453,0.683692977204325,1.0,0.9090909090909091,0.8125408101132999
Q12,What is Risdiplam used for and how effective is it?,hybrid_reranked,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,0.8617599676775869,1.0,0.45454545454545453,0.8838202013745722,1.0,0.9090909090909091,0.9043729075531171
Q13,What are orphan drugs and how accessible are they?,semantic,1.0,1.0,0.06666666666666667,0.42857142857142855,1.0,0.2,0.6497722977469499,1.0,0.3333333333333333,0.5992752211149401,0.8,0.5333333333333333,0.6532514127919994
Q13,What are orphan drugs and how accessible are they?,lexical,1.0,1.0,0.06666666666666667,1.0,0.6666666666666666,0.13333333333333333,0.5907889029375734,0.8,0.26666666666666666,0.6057488358677305,0.8,0.5333333333333333,0.632536237917938
Q13,What are orphan drugs and how accessible are they?,hybrid_rrf,1.0,1.0,0.06666666666666667,1.0,1.0,0.2,0.6294990550432896,1.0,0.3333333333333333,0.7893065919856747,0.9,0.6,0.7799994875880508
Q13,What are orphan drugs and how accessible are they?,hybrid_reranked,1.0,1.0,0.06666666666666667,1.0,1.0,0.2,0.9594535145926796,1.0,0.3333333333333333,0.9659238902765536,0.9,0.6,0.8584943147806907
Q14,What is Hereditary Angioedema?,semantic,1.0,1.0,0.05555555555555555,0.14285714285714285,0.6666666666666666,0.1111111111111111,0.1093372338555174,0.8,0.2222222222222222,0.16877215841344587,0.9,0.5,0.4212522917686562
Q14,What is Hereditary Angioedema?,lexical,1.0,1.0,0.05555555555555555,1.0,1.0,0.16666666666666666,0.8308103365909342,1.0,0.2777777777777778,0.7775786113636151,0.9,0.5,0.7560610750983875
Q14,What is Hereditary Angioedema?,hybrid_rrf,0.5,0.0,0.0,0.0,0.6666666666666666,0.1111111111111111,0.16041215655842486,0.8,0.2222222222222222,0.30350083200033334,0.9,0.5,0.4725063207458944
Q14,What is Hereditary Angioedema?,hybrid_reranked,1.0,1.0,0.05555555555555555,1.0,1.0,0.16666666666666666,0.6967307005844323,1.0,0.2777777777777778,0.6322960693158765,0.9,0.5,0.6657550252055954
Q15,What organizations or programs help diagnose genetic diseases?,semantic,1.0,1.0,0.07692307692307693,1.0,1.0,0.23076923076923078,0.7462155048864012,1.0,0.38461538461538464,0.7611915317451772,0.9,0.6923076923076923,0.76329362307448
Q15,What organizations or programs help diagnose genetic diseases?,lexical,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.07692307692307693,0.10055972700487639,0.4,0.15384615384615385,0.22040714216962487,0.4,0.3076923076923077,0.23593461967024038
Q15,What organizations or programs help diagnose genetic diseases?,hybrid_rrf,1.0,1.0,0.07692307692307693,1.0,0.6666666666666666,0.15384615384615385,0.5027986350243819,0.6,0.23076923076923078,0.5346781476213996,0.7,0.5384615384615384,0.6839103126660652
Q15,What organizations or programs help diagnose genetic diseases?,hybrid_reranked,1.0,1.0,0.07692307692307693,1.0,1.0,0.23076923076923078,1.0,1.0,0.38461538461538464,0.9594744597695195,0.7,0.5384615384615384,0.8444279351827281
Q16,What diseases cause muscle atrophy?,semantic,1.0,1.0,0.1,1.0,1.0,0.3,0.7988805459902473,0.8,0.4,0.6849571498555052,0.7,0.7,0.6542496063479831
Q16,What diseases cause muscle atrophy?,lexical,1.0,1.0,0.1,1.0,1.0,0.3,1.0,1.0,0.5,0.8646508450697651,0.5,0.5,0.7714144850082968
Q16,What diseases cause muscle atrophy?,hybrid_rrf,1.0,1.0,0.1,1.0,1.0,0.3,0.7462155048864012,1.0,0.5,0.7611915317451772,0.8,0.8,0.8820586760303961
Q16,What diseases cause muscle atrophy?,hybrid_reranked,1.0,1.0,0.1,1.0,1.0,0.3,0.7462155048864012,1.0,0.5,0.7925353824831283,0.8,0.8,0.8850676912227303
Q17,What disease is caused by a deficiency of the enzyme alpha-N-acetylglucosaminidase?,semantic,1.0,1.0,0.16666666666666666,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.10055972700487639,0.6,0.5,0.11992171687709202,0.4,0.6666666666666666,0.25450867831153146
Q17,What disease is caused by a deficiency of the enzyme alpha-N-acetylglucosaminidase?,lexical,1.0,1.0,0.16666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.7653606369886218,0.4,0.3333333333333333,0.7255930445820784,0.2,0.3333333333333333,0.7095298050125142
Q17,What disease is caused by a deficiency of the enzyme alpha-N-acetylglucosaminidase?,hybrid_rrf,1.0,1.0,0.16666666666666666,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.3631217289691162,0.8,0.6666666666666666,0.5604471776626435,0.6,1.0,0.6945129938151198
Q17,What disease is caused by a deficiency of the enzyme alpha-N-acetylglucosaminidase?,hybrid_reranked,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,0.6,0.5,0.9480407137699002,0.6,1.0,0.9886163300636344
Q18,Why is the diagnosis of rare diseases delayed even when diagnostic technology is available?,semantic,1.0,1.0,0.09090909090909091,0.42857142857142855,1.0,0.2727272727272727,0.7318407279869963,1.0,0.45454545454545453,0.731219838408024,1.0,0.9090909090909091,0.8602924185670591
Q18,Why is the diagnosis of rare diseases delayed even when diagnostic technology is available?,lexical,1.0,1.0,0.09090909090909091,0.42857142857142855,0.3333333333333333,0.09090909090909091,0.20111945400975278,0.2,0.09090909090909091,0.1453543736886926,0.1,0.09090909090909091,0.11173457664804616
Q18,Why is the diagnosis of rare diseases delayed even when diagnostic technology is available?,hybrid_rrf,1.0,1.0,0.09090909090909091,0.42857142857142855,1.0,0.2727272727272727,0.5626510645779305,1.0,0.45454545454545453,0.6839163028524893,1.0,0.9090909090909091,0.8388672330170859
Q18,Why is the diagnosis of rare diseases delayed even when diagnostic technology is available?,hybrid_reranked,1.0,1.0,0.09090909090909091,1.0,1.0,0.2727272727272727,0.8659203639934981,1.0,0.45454545454545453,0.9030970842075382,1.0,0.9090909090909091,0.9751700940782119
Q19,"What rare disease could be associated with neonatal hypotonia, feeding difficulties, weak sucking, reduced limb movements, decreased alertness, and diminished neonatal reflexes?",semantic,1.0,1.0,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.28110768609184367,0.8,0.5714285714285714,0.49290501013471516,0.7,1.0,0.6655926949917887
Q19,"What rare disease could be associated with neonatal hypotonia, feeding difficulties, weak sucking, reduced limb movements, decreased alertness, and diminished neonatal reflexes?",lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q19,"What rare disease could be associated with neonatal hypotonia, feeding difficulties, weak sucking, reduced limb movements, decreased alertness, and diminished neonatal reflexes?",hybrid_rrf,1.0,1.0,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.28110768609184367,0.8,0.5714285714285714,0.49290501013471516,0.7,1.0,0.6655926949917887
Q19,"What rare disease could be associated with neonatal hypotonia, feeding difficulties, weak sucking, reduced limb movements, decreased alertness, and diminished neonatal reflexes?",hybrid_reranked,1.0,1.0,0.14285714285714285,1.0,1.0,0.42857142857142855,0.7271926019583823,1.0,0.7142857142857143,0.9315816884695541,0.7,1.0,0.9297882049412006
Q20,How many of the six families with suspected monogenic diseases received a molecular diagnosis using the multimodal approach?,semantic,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.36809606132558675
Q20,How many of the six families with suspected monogenic diseases received a molecular diagnosis using the multimodal approach?,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q20,How many of the six families with suspected monogenic diseases received a molecular diagnosis using the multimodal approach?,hybrid_rrf,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.36809606132558675
Q20,How many of the six families with suspected monogenic diseases received a molecular diagnosis using the multimodal approach?,hybrid_reranked,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.9173194127129571,0.2,0.5,0.9173194127129571,0.2,1.0,0.9610012895088121
Q21,What precision treatments are available for genetic diseases?,semantic,1.0,1.0,0.05263157894736842,0.42857142857142855,1.0,0.15789473684210525,0.5307212739772436,1.0,0.2631578947368421,0.6608397947263838,1.0,0.5263157894736842,0.6015411507327104
Q21,What precision treatments are available for genetic diseases?,lexical,1.0,1.0,0.05263157894736842,1.0,1.0,0.15789473684210525,1.0,0.8,0.21052631578947367,0.8539316501572934,0.9,0.47368421052631576,0.780551228619497
Q21,What precision treatments are available for genetic diseases?,hybrid_rrf,1.0,1.0,0.05263157894736842,1.0,1.0,0.15789473684210525,0.8308103365909342,1.0,0.2631578947368421,0.7652606394268341,0.9,0.47368421052631576,0.84062541536656
Q21,What precision treatments are available for genetic diseases?,hybrid_reranked,1.0,1.0,0.05263157894736842,1.0,1.0,0.15789473684210525,0.8659203639934981,1.0,0.2631578947368421,0.7906355891969594,0.9,0.47368421052631576,0.8584120435167262
Q22,Approximately what percentage of the Brazilian population is affected by rare diseases?,semantic,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.9828422279067397,0.4,1.0,0.9828422279067397,0.2,1.0,0.9828422279067397
Q22,Approximately what percentage of the Brazilian population is affected by rare diseases?,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q22,Approximately what percentage of the Brazilian population is affected by rare diseases?,hybrid_rrf,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.9828422279067397,0.4,1.0,0.9828422279067397,0.2,1.0,0.9828422279067397
Q22,Approximately what percentage of the Brazilian population is affected by rare diseases?,hybrid_reranked,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0
Q23,What results has NGS achieved in diagnosing rare diseases in Brazil?,semantic,1.0,1.0,0.125,1.0,1.0,0.375,1.0,0.8,0.5,0.9696205698332473,0.8,1.0,0.9905312678451771
Q23,What results has NGS achieved in diagnosing rare diseases in Brazil?,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q23,What results has NGS achieved in diagnosing rare diseases in Brazil?,hybrid_rrf,1.0,1.0,0.125,1.0,1.0,0.375,1.0,0.8,0.5,0.9696205698332473,0.8,1.0,0.9905312678451771
Q23,What results has NGS achieved in diagnosing rare diseases in Brazil?,hybrid_reranked,1.0,1.0,0.125,1.0,1.0,0.375,1.0,1.0,0.625,1.0,0.8,1.0,0.9967779046259261
